target_tic_id,target_name,control_tic_id,tmag_target,tmag_control,bp_rp_target,bp_rp_control,parallax_target,parallax_control,match_quality_score
12377940,HR 9102,428612809,6.36463,6.41563,0.034275055,0.011820000000000164,7.764007366118098,6.69092,0.5281265253540004
120462356,HD 105,368404959,6.9827,6.9885,0.75072956,0.7445000000000004,25.753415493475273,21.265,0.4016989612933472
238432056,HD 166,289971775,5.3971,5.8926,0.9170017,0.9036800000000005,72.64189108452184,58.3088,1.4744346249501383
229012143,HD 203,44561692,5.8109,5.8373,0.5283246,0.6010800000000005,25.162805081468484,23.671,0.6564082399898237
405187645,HD 377,257502302,7.019,6.7599,0.78495026,0.8304900000000002,26.03863506376948,23.199,1.0399076304497632
194503676,sig And,266586474,4.5394,4.6802,0.09509897,0.10721000000000025,23.254163192588408,19.7054,0.6675554995743578
425934574,HD 1466,240644651,6.9538,6.861,0.697855,0.7235199999999997,23.35551119232331,20.9305,0.564360724901656
37748347,HD 1461,347304641,5.8575,5.7623,0.8331771,0.8281199999999993,42.73076832887228,47.8005,0.4614011759341765
184281898,9 Cet,398018469,5.7957,5.8849,,0.8635799999999998,,47.4926,0.5861333333333323
155996406,HD 2834,384986756,4.7598,4.9426,0.036396027,0.07106999999999974,18.470512945750432,21.8865,0.966645276271042
469974193,bet03 Tuc,196613658,5.0809,4.9762,0.045404434,0.14694999999999947,21.67942322983856,18.368,1.19186041496214
38381642,HD 3126,461597067,6.4543,6.6127,0.6162925,0.6954399999999996,24.780520827276476,23.7127,0.930632274756798
212960381,HD 3296,444335503,6.266,6.1666,0.6094184,0.55593,22.300969492047063,18.4711,0.8988604540317289
156069089,HD 3670,380884414,7.7779,7.4486,0.61456823,0.6820500000000003,12.97562720159168,14.2898,1.31103866325541
436544292,66 Psc,57920096,5.783,5.91385,-0.024337292,-0.009059999999999846,,6.61317,0.36354861333333377
435680540,HR 333,67786245,5.6011,6.0937,0.0467515,0.02161999999999953,12.29525447411803,12.2763,1.1558265511972585
196841006,HD 7590,346923890,6.0429,6.1706,0.75912046,0.8205900000000002,41.38032726593179,39.2718,0.7671065800300017
191770861,HD 8907,368454136,6.1757,5.9828,0.65976524,0.5667299999999997,29.94076460671236,24.1023,1.3960359692723738
231839456,HD 10472,303241443,7.2296,7.0973,0.53107595,0.6564800000000002,14.02048465592582,15.6979,1.339907650453866
229142326,HD 10939,352180433,5.0473,4.5582,0.04441452,0.08462000000000014,16.057535557154335,15.6852,1.292611714111114
266746662,DK Cet,283545765,7.4405,7.2272,0.83526754,0.7401099999999996,24.205282560124612,19.4747,1.4518555138786455
231064749,HD 13246,445188441,6.9982,7.2298,0.69261456,0.7231300000000003,22.02553766608435,20.6855,0.788316625748008
63790159,gam Tri,234309613,4.0017,4.0706,0.04534602,0.07396000000000047,27.979464525783225,23.7186,0.633130708031902
118301927,HD 14082B,115598451,7.1878,7.2549,0.79357624,0.7183799999999998,25.230631889461055,16.68,1.313305947432063
381003375,HD 15115,440042075,6.3927,6.2447,0.54123163,0.5334900000000005,20.502644220776563,17.2432,0.6655644131144492
91529289,phi For,259902074,5.0939,4.7798,0.1088047,0.10878999999999994,20.96629207751937,10.9214,1.5864924237331097
372121208,HD 15407,417236897,6.5134,6.0145,0.60227585,0.7376100000000001,20.26789764624098,16.6508,2.256956412743282
436840249,33 Ari,331940649,5.2438,4.796,0.12038469,,12.646353401652002,7.47,2.714231780601009
