target_name,source_catalog,ra_deg,dec_deg,sp_type,teff_catalog,distance_pc,disk_temperature,disk_radius,reference,sample_role,has_tess_lightcurve,n_tess_products,first_author,first_mission,first_year,first_sector,tess_query_status,tic_id,gaia_dr3_source_id,tmag,bp_rp,parallax,gaia_query_status,tic_query_status
10 Tau,Cotten & Song 2016,54.21825,0.40163888888888893,F9IV-V,6150.0,13.96,105.0,12.3,Decin et al. 2000,disk_or_ir_excess_target,True,4,SPOC,TESS Sector 31,2020,31,ok,,,,,,not_attempted,not_attempted
12 Per,Cotten & Song 2016,40.562083333333334,40.19344444444444,F9V,6410.0,24.18,200.0,4.3,Koerner et al. 2010,disk_or_ir_excess_target,True,9,SPOC,TESS Sector 18,2019,18,ok,,,,,,not_attempted,not_attempted
26 And,Cotten & Song 2016,4.675666666666666,43.79108333333333,B8V,10850.0,202.83,75.0,169.3,Wyatt et al. 2007,disk_or_ir_excess_target,True,9,SPOC,TESS Sector 57,2022,57,ok,,,,,,not_attempted,not_attempted
2MASS J01203226-1128035,Cotten & Song 2016,20.134791666666665,-11.468111111111112,G9V,5500.0,34.39,300.0,0.5,Carpenter et al. 2009,disk_or_ir_excess_target,True,12,SPOC,TESS Sector 03,2018,3,ok,,,,,,not_attempted,not_attempted
33 Ari,Cotten & Song 2016,40.17133333333333,27.060861111111112,A2/3V,8450.0,70.97,95.0,47.1,Trilling et al. 2007,disk_or_ir_excess_target,True,21,SPOC,TESS Sector 18,2019,18,ok,,,,,,not_attempted,not_attempted
39 Psc,Cotten & Song 2016,4.458958333333333,16.330916666666667,F6V,6400.0,44.82,200.0,2.8,Mizusawa et al. 2012,disk_or_ir_excess_target,True,7,SPOC,TESS Sector 57,2022,57,ok,,,,,,not_attempted,not_attempted
41 Ari,Cotten & Song 2016,42.49633333333333,27.26025,B8V,11840.0,50.78,265.0,12.6,Rieke et al. 2005,disk_or_ir_excess_target,True,26,SPOC,TESS Sector 18,2019,18,ok,,,,,,not_attempted,not_attempted
49 Cet,Cotten & Song 2016,23.657666666666668,-15.67636111111111,A1V,8670.0,59.38,180.0,9.6,Oudmaijer et al. 1992,disk_or_ir_excess_target,True,14,SPOC,TESS Sector 03,2018,3,ok,,,,,,not_attempted,not_attempted
50 Cas,Cotten & Song 2016,30.858416666666663,72.42133333333334,A2V,9120.0,48.16,300.0,6.1,Rieke et al. 2005,disk_or_ir_excess_target,True,27,SPOC,TESS Sector 18,2019,18,ok,,,,,,not_attempted,not_attempted
50 Per,Cotten & Song 2016,62.15320833333334,38.03916666666667,F7V,6360.0,20.99,270.0,1.5,Beichman et al. 2006,disk_or_ir_excess_target,True,10,SPOC,TESS Sector 19,2019,19,ok,,,,,,not_attempted,not_attempted
51 Eri,Cotten & Song 2016,69.40054166666667,-2.473527777777778,F0IV,7400.0,29.42,300.0,1.9,Riviere-Marichalar et al. 2014,disk_or_ir_excess_target,True,13,SPOC,TESS Sector 05,2018,5,ok,,,,,,not_attempted,not_attempted
64 Psc,Cotten & Song 2016,12.244625000000001,16.940638888888888,F8V,6570.0,23.45,300.0,1.7,Koerner et al. 2010,disk_or_ir_excess_target,True,21,SPOC,TESS Sector 17,2019,17,ok,,,,,,not_attempted,not_attempted
66 Psc,Cotten & Song 2016,13.646791666666667,19.188333333333333,A1Vn,9340.0,108.1,250.0,8.7,Rhee et al. 2007,disk_or_ir_excess_target,True,17,SPOC,TESS Sector 17,2019,17,ok,,,,,,not_attempted,not_attempted
9 Cet,Cotten & Song 2016,5.715791666666666,-12.209416666666666,G3V,5920.0,20.86,40.0,48.5,Chen et al. 2014,disk_or_ir_excess_target,True,7,SPOC,TESS Sector 03,2018,3,ok,,,,,,not_attempted,not_attempted
94 Cet,Cotten & Song 2016,48.19408333333334,-1.1962222222222223,F8.5V,6140.0,22.57,40.0,94.6,Trilling et al. 2008,disk_or_ir_excess_target,True,11,SPOC,TESS Sector 04,2018,4,ok,,,,,,not_attempted,not_attempted
AG Tri,Cotten & Song 2016,36.87216666666667,30.973305555555555,K7V,4330.0,39.95,205.0,0.8,Rebull et al. 2008,disk_or_ir_excess_target,True,11,SPOC,TESS Sector 18,2019,18,ok,,,,,,not_attempted,not_attempted
BD Phe,Cotten & Song 2016,27.726583333333334,-50.20611111111111,A1V,7670.0,77.16,65.0,81.0,Su et al. 2006,disk_or_ir_excess_target,True,30,SPOC,TESS Sector 02,2018,2,ok,,,,,,not_attempted,not_attempted
BD+14 466,Cotten & Song 2016,41.793416666666666,15.307250000000002,:K0,5230.0,79.36,40.0,97.4,Zuckerman et al. 2004,disk_or_ir_excess_target,True,12,SPOC,TESS Sector 42,2021,42,ok,,,,,,not_attempted,not_attempted
BD+20 307,Cotten & Song 2016,28.709874999999997,21.306166666666666,:F9,6110.0,96.15,410.0,0.66,Song et al. 2005,disk_or_ir_excess_target,True,18,SPOC,TESS Sector 17,2019,17,ok,,,,,,not_attempted,not_attempted
BD+21 418,Cotten & Song 2016,47.80783333333333,22.41547222222222,:G2,5890.0,53.7,280.0,0.9,Zuckerman et al. 2011,disk_or_ir_excess_target,True,20,SPOC,TESS Sector 42,2021,42,ok,,,,,,not_attempted,not_attempted
