message_type,approved_message,forbidden_overclaim,reason
project_result,"The development survey produced zero surviving candidates after conservative multi-stage vetting.","We found exocomet candidates.","All candidates were rejected at automated vetting or manual review. Zero means zero — not 'promising leads'."
project_result,"The result is an honest negative result: the hypothesis was not supported in this development run.","The result is inconclusive — further investigation is needed to confirm.","Inconclusive implies ambiguity. The result is clear: the hypothesis was not supported. Future work is needed to increase statistical power, not to re-examine the same events."
detection_claim,"The pipeline detected 156 raw dip-like events, all of which were rejected by downstream vetting.","The pipeline detected 156 exocomet-like events.","Raw detector triggers are not detections. The word 'detected' should not appear without specifying that all events were subsequently rejected."
ai_role,"Machine learning was used as a ranking tool to triage events by their similarity to synthetic comet signals.","AI detected exocomets." / "AI found exocomets.","The ML model was trained on synthetic injections, not confirmed exocomet events. A high ML score means an event looks like a simulation, not that it is real."
ai_role,"The GradientBoostingClassifier ranked events from 0 to 1 based on morphological similarity to synthetic asymmetric dips.","The AI identified the most likely exocomet candidates.","The model produces a ranking for triage purposes. It cannot confirm or identify real astrophysical events."
discovery_claim,"No discovery claim is made. This project found no confirmed candidates.","I/we discovered exocomets." / "Kazakhstan discovered exocomets." / "NASA-level discovery.","No event survived conservative vetting. No single-telescope single-sector event warrants a discovery claim. Expert review and multi-sector confirmation were not obtained."
tic_444335503,"TIC 444335503 is a control star that produced 20 detector triggers; its 3 automated-pass events were classified as likely_variable_star during manual review.","TIC 444335503 showed three promising exocomet candidates that passed automated vetting.","All three pass events are on a control star with clear signs of repeated stellar variability. The pass events are false positives, not candidates."
control_design,"The matched-control design showed that the three most impressive-looking events came from a control star — correctly preventing any false discovery claim.","The control design helped identify the best exocomet candidates.","Controls are for catching false positives, not for selecting candidates. The control design worked by rejecting, not confirming."
pipeline_value,"AstroHunter KZ is a validated, reproducible pipeline for exocomet-like signal search, suitable for larger-scale future studies.","AstroHunter KZ is a discovery pipeline that found exocomet signals.","The pipeline is a research tool. Its value is in the methodology and reproducibility, not in any astrophysical result."
hypothesis,"The hypothesis — that debris-disk stars show more exocomet-like transit events than matched controls — was not supported in this development run.","The data suggests that debris-disk stars may host more exocomet activity, consistent with theory.","The raw rate ratio (0.58) is below 1, meaning controls triggered more events than targets. The hypothesis was not supported; it must not be softened to 'may be consistent'."
