tic_id,target_name,sample_role,n_events,n_pass_automated_vetting,n_external_flags,max_final_candidate_score,max_local_snr,median_local_snr,max_depth_ppm,min_event_time_btjd,max_event_time_btjd,has_known_variable_match,has_tess_eb_match,recommended_review_priority,consolidation_version
444335503,TIC 444335503,control,20,3,0,0.8482083574458862,36.73157853903205,20.22018641699917,19157.230854034424,2854.094537325419,2881.748017706199,False,False,overtriggered_review,phase5e_v1
63790159,gam Tri,target,16,0,0,0.7407337197582773,10.292387475304247,5.0018613682404816,1286.625862121582,1790.6703970779874,1811.411784583633,False,False,overtriggered_review,phase5e_v1
417236897,TIC 417236897,control,14,0,0,0.6112550781639379,5.375763086739589,4.185688873072097,1652.7175903320312,1962.5727712696143,1975.5489685511957,False,False,overtriggered_review,phase5e_v1
436840249,33 Ari,target,10,0,0,0.7145810126524916,9.000894003769465,7.565102426615503,3491.044044494629,1790.670585957704,1809.6148841030276,False,False,overtriggered_review,phase5e_v1
194503676,sig And,target,7,0,7,0.6111456571117281,4.666188566094137,3.682114462683576,616.3120269775391,1765.7587841000045,1778.0212415072124,True,False,overtriggered_review,phase5e_v1
469974193,bet03 Tuc,target,6,0,0,0.5896815546906871,4.346632773441913,3.1604028902974415,604.8381328582764,1337.1529435120635,1351.7043955908766,False,False,overtriggered_review,phase5e_v1
240644651,TIC 240644651,control,6,0,0,0.5900859131626273,4.619276726247439,4.015869014493591,1711.8453979492188,1765.5331700449426,1782.4527341584387,False,False,overtriggered_review,phase5e_v1
266586474,TIC 266586474,control,6,0,0,0.730904965497322,5.054122406697327,4.521467409437772,1106.9774627685547,1342.7637661987828,1351.4288706658683,False,False,overtriggered_review,phase5e_v1
257502302,TIC 257502302,control,6,0,6,0.5810075367276231,4.269987424717613,3.7004976725232943,2355.9927940368652,2450.2113216493167,2466.1660754552536,True,False,overtriggered_review,phase5e_v1
67786245,TIC 67786245,control,6,0,0,0.5826229048717332,4.4415873297624735,4.300994351617767,941.2765502929688,2447.9340989332854,2466.240035937108,False,False,overtriggered_review,phase5e_v1
461597067,TIC 461597067,control,5,0,0,0.5863448514046682,4.486112131612687,4.192024562832621,1094.4902896881104,1791.0183049380878,1806.247769971812,False,False,overtriggered_review,phase5e_v1
440042075,TIC 440042075,control,5,0,0,0.6138883778701323,5.469809505379262,4.31202182172083,1606.2259674072266,1768.054088493521,1786.0359559026317,False,False,overtriggered_review,phase5e_v1
196613658,TIC 196613658,control,5,0,0,0.6036019735604302,5.094048590771595,4.175380999527498,858.2472801208496,1768.1223907148324,1786.073937166441,False,False,overtriggered_review,phase5e_v1
234309613,TIC 234309613,control,4,0,0,0.5900519253396723,6.535168687367065,4.5477372290555795,484.6453666687012,1343.9657622168036,1351.1713362899814,False,False,medium,phase5e_v1
384986756,TIC 384986756,control,4,0,4,0.5926453807123139,4.108790496404056,3.783033846795939,828.2065391540527,1791.6713561758236,1814.145171297281,True,False,low,phase5e_v1
303241443,TIC 303241443,control,4,0,0,0.5726583697269396,3.997309214550953,3.6693553979413025,1706.6597938537598,2859.7714500870666,2867.242189679869,False,False,low,phase5e_v1
155996406,HD 2834,target,3,0,0,0.5897415989285479,5.449183892160456,4.419823410683425,500.08296966552734,1354.113539794728,1360.9274826592002,False,False,low,phase5e_v1
57920096,TIC 57920096,control,3,0,0,0.5871757504162842,4.515786809068717,4.008860383218991,953.67431640625,1767.5340103163828,1778.8283471143625,False,False,low,phase5e_v1
229142326,HD 10939,target,3,0,0,0.5854674164737965,4.3626407110554855,4.043821914454587,482.6784133911133,1372.4807652364882,1379.593257079384,False,False,low,phase5e_v1
37748347,HD 1461,target,3,0,0,0.5730706765292963,3.9641123583273576,3.919195080334564,705.8382034301758,1394.5249385434895,1406.0565833833195,False,False,low,phase5e_v1
352180433,TIC 352180433,control,2,0,2,0.5887693868673846,4.551579231661287,3.984887656181326,384.92679595947266,1768.4642469147182,1771.8961859471196,True,False,low,phase5e_v1
398018469,TIC 398018469,control,2,0,0,0.6231711300315544,3.229908230457326,3.1428493783597773,907.0634841918944,1790.886363110096,1813.576726211914,False,False,low,phase5e_v1
435680540,HR 333,target,2,0,0,0.5583954413647283,2.8146978985480184,2.8023602154276954,822.0672607421875,1791.3812764486672,1791.650726667736,False,False,low,phase5e_v1
346923890,TIC 346923890,control,2,0,0,0.5805440471553491,4.26354504218474,4.15133591349313,1451.3134956359863,2463.1814546586497,2465.1549634727444,False,False,low,phase5e_v1
331940649,TIC 331940649,control,1,0,0,0.5718416048154766,3.946085320574666,3.946085320574666,2730.7868003845215,1894.8692781314144,1894.8692781314144,False,False,low,phase5e_v1
12377940,HR 9102,target,1,0,0,0.5664524392080736,3.672372672267701,3.672372672267701,1339.9720191955566,1378.1077781484776,1378.1077781484776,False,False,low,phase5e_v1
428612809,TIC 428612809,control,1,0,0,0.5601569942486414,3.5508315188974473,3.5508315188974473,835.2994918823242,2887.246604441321,2887.246604441321,False,False,low,phase5e_v1
436544292,66 Psc,target,1,0,0,0.5679358188945807,3.8260952261892176,3.8260952261892176,1241.2071228027344,1765.7706016900424,1765.7706016900424,False,False,low,phase5e_v1
368454136,TIC 368454136,control,1,0,0,0.5506238281216851,2.7427175140729187,2.7427175140729187,1262.0389461517334,1967.0548203298804,1967.0548203298804,False,False,low,phase5e_v1
115598451,TIC 115598451,control,1,0,1,0.861351215839386,35.662806820108,35.662806820108,14594.674110412598,1766.0781212210566,1766.0781212210566,True,False,low,phase5e_v1
381003375,HD 15115,target,1,0,0,0.5868498148674504,3.647003395487683,3.647003395487683,1275.9268283843994,1430.4110312935995,1430.4110312935995,False,False,low,phase5e_v1
380884414,TIC 380884414,control,1,0,0,0.5940008496933075,3.821687680829437,3.821687680829437,1601.8152236938477,2453.270218232855,2453.270218232855,False,False,low,phase5e_v1
91529289,phi For,target,1,0,0,0.607827765805983,5.253358787002111,5.253358787002111,636.9352340698242,1387.8190765369666,1387.8190765369666,False,False,low,phase5e_v1
118301927,HD 14082B,target,1,0,1,0.6327228798188479,5.79524228732157,5.79524228732157,24380.207061767574,1791.3788763981956,1791.3788763981956,True,False,low,phase5e_v1
229012143,HD 203,target,1,0,0,0.6567983238013676,3.963977919851635,3.963977919851635,801.6526699066162,1366.32740824016,1366.32740824016,False,False,medium,phase5e_v1
372121208,HD 15407,target,1,0,1,0.4460467526405969,2.271135396510075,2.271135396510075,2902.120351791382,2895.493588444462,2895.493588444462,True,False,low,phase5e_v1
